Index,BST Depth,AVL Depth,Splay Depth
0,0,5,99
1,1,6,98
2,2,4,97
3,3,6,96
4,4,5,95
5,5,6,94
6,6,3,93
7,7,6,92
8,8,5,91
9,9,6,90
10,10,4,89
11,11,6,88
12,12,5,87
13,13,6,86
14,14,2,85
15,15,6,84
16,16,5,83
17,17,6,82
18,18,4,81
19,19,6,80
20,20,5,79
21,21,6,78
22,22,3,77
23,23,6,76
24,24,5,75
25,25,6,74
26,26,4,73
27,27,6,72
28,28,5,71
29,29,6,70
30,30,1,69
31,31,6,68
32,32,5,67
33,33,6,66
34,34,4,65
35,35,6,64
36,36,5,63
37,37,6,62
38,38,3,61
39,39,6,60
40,40,5,59
41,41,6,58
42,42,4,57
43,43,6,56
44,44,5,55
45,45,6,54
46,46,2,53
47,47,6,52
48,48,5,51
49,49,6,50
50,50,4,49
51,51,6,48
52,52,5,47
53,53,6,46
54,54,3,45
55,55,6,44
56,56,5,43
57,57,6,42
58,58,4,41
59,59,6,40
60,60,5,39
61,61,6,38
62,62,0,37
63,63,5,36
64,64,4,35
65,65,5,34
66,66,3,33
67,67,5,32
68,68,4,31
69,69,5,30
70,70,2,29
71,71,5,28
72,72,4,27
73,73,5,26
74,74,3,25
75,75,5,24
76,76,4,23
77,77,5,22
78,78,1,21
79,79,5,20
80,80,4,19
81,81,5,18
82,82,3,17
83,83,5,16
84,84,4,15
85,85,5,14
86,86,2,13
87,87,6,12
88,88,5,11
89,89,6,10
90,90,4,9
91,91,6,8
92,92,5,7
93,93,6,6
94,94,3,5
95,95,5,4
96,96,4,3
97,97,6,2
98,98,5,1
99,99,6,0
